name,x,y,z,,x1,y1,z1
17.02,310243.6931,2739524.433,765.0825,,,,
17.03,310244.6292,2739526.002,764.8825,,,,
17.04,310244.8638,2739527.843,764.5825,,,,
17.07,310248.8201,2739531.58,763.0825,,,,
17.08,310250.9499,2739532.355,762.8675,,,,
17.09,310252.6572,2739534.05,762.6675,,,,
17.1,310253.1782,2739535.978,762.8675,,,,
17.11,310254.2354,2739537.825,763.1675,,,,
17.12,310256.0586,2739540.679,763.3675,,,,
17.13,310257.4707,2739541.815,763.4675,,,,
17.14,310259.2991,2739542.757,763.2675,,,,
17.15,310261.1563,2739544.162,763.2675,,,,
17.16,310262.747,2739545.035,763.3675,,,,
17.17,310264.4098,2739545.805,763.8525,,,,
17.18,310266.22,2739546.805,763.7525,,,,
17.19,310267.7085,2739548.436,764.3525,,,,
17.2,310269.9212,2739548.634,763.8525,,,,
17.21,310271.8081,2739549.295,764.0525,,,,
17.22,310272.2756,2739550.806,764.5525,,,,
18.01,310242.1051,2739525.237,766.5825,,,,
18.02,310243.3945,2739526.518,766.5825,,,,
18.03,310244.0692,2739528.48,766.1825,,,,
18.07,310249.55,2739533.599,764.7825,,,,
18.08,310250.6283,2739532.707,764.1825,,,,
18.09,310250.9166,2739535.226,764.6825,,,,
18.11,310252.377,2739536.085,763.8675,,,,
18.12,310251.7965,2739537.935,764.6675,,,,
18.13,310252.8686,2739537.389,763.8675,,,,
18.14,310252.5872,2739540.004,765.3675,,,,
18.15,310254.5758,2739538.265,764.1125,,,,
18.16,310253.8476,2739541.468,765.4675,,,,
18.17,310255.034,2739540.57,764.1675,,,,
18.18,310255.5444,2739542.915,765.3675,,,,
18.2,310257.134,2739544.219,765.1675,,,,
18.21,310258.5521,2739544.899,764.7675,,,,
18.22,310260.4969,2739545.547,764.4675,,,,
18.23,310262.3835,2739546.699,765.0675,,,,
18.24,310263.5437,2739547.343,765.1675,,,,
18.25,310264.7357,2739547.984,765.2675,,,,
18.26,310266.1749,2739548.893,765.7675,,,,
18.27,310267.6385,2739550.17,766.2675,,,,
18.28,310269.1948,2739551.436,766.4675,,,,
18.29,310271.0072,2739552.456,766.4675,,,,
19.02,310243.1924,2739526.938,768.2625,,,,
19.03,310243.5791,2739529.641,768.3625,,,,
19.06,310248.1232,2739532.846,765.2375,,,,
19.01,310241.8622,2739526.057,768.3325,,,,
19.02,310244.4858,2739528.084,767.98,,,,
19.04,310249.5605,2739527.307,760.6825,,,,
19.07,310249.4669,2739536.149,765.99,,,,
19.08,310250.2971,2739537.447,765.69,,,,
20.01,310242.073,2739528.297,770.1125,,,,
20.03,310245.3543,2739530.905,765.7825,,,,
20.04,310246.2367,2739532.449,766.7375,,,,
20.1,310243.4628,2739529.249,769.68,,,,
20.1,310254.7587,2739543.492,767.085,,,,
20.11,310255.7312,2739544.384,766.885,,,,
20.12,310256.8553,2739545.429,766.685,,,,
20.13,310258.6515,2739546.426,766.985,,,,
20.14,310260.0948,2739547.239,766.985,,,,
20.15,310261.7461,2739548.203,766.785,,,,
20.16,310263.4393,2739549.596,766.98,,,,
20.02,310243.129,2739531.019,770.28,,,,
20.05,310245.8616,2739533.321,767.48,,,,
20.08,310250.9881,2739541.461,767.105,,,,
20.09,310252.0745,2739542.77,766.905,,,,
21.02,310245.1814,2739532.7,767.8825,,,,
21.06,310249.533,2739542.831,768.685,,,,
21.07,310250.4809,2739543.973,768.485,,,,
21.08,310251.6628,2739545.635,768.585,,,,
21.09,310253.4163,2739546.367,768.485,,,,
21.1,310242.486,2739533.737,771.18,,,,
21.1,310255.3159,2739546.802,768.285,,,,
21.11,310257.1488,2739547.627,768.085,,,,
21.12,310259.0104,2739548.799,768.81,,,,
21.13,310261.0541,2739549.282,768.185,,,,
21.14,310262.4899,2739550.327,768.485,,,,
21.15,310263.6585,2739551.923,768.885,,,,
21.16,310265.2061,2739553.026,768.585,,,,
21.17,310267.5187,2739553.457,768.085,,,,
21.18,310268.6189,2739553.355,767.9225,,,,
21.19,310251.2353,2739547.4,769.785,,,,
21.2,310252.7105,2739548.832,769.785,,,,
21.21,310254.649,2739549.381,769.585,,,,
21.22,310258.2305,2739550.749,769.585,,,,
21.23,310259.7728,2739551.493,769.785,,,,
21.24,310261.3482,2739552.644,770.285,,,,
21.25,310262.7578,2739553.863,770.385,,,,
21.27,310265.6223,2739555.481,769.685,,,,
21.28,310267.1778,2739555.556,769.585,,,,
21.03,310244.6021,2739537.831,769.98,,,,
21.04,310248.2911,2739537.544,768.405,,,,
22.01,310241.4474,2739536.225,772.77,,,,
22.02,310241.7074,2739538.769,773.67,,,,
22.05,310245.8496,2739545.371,772.48,,,,
22.06,310248.0014,2739545.839,771.285,,,,
22.07,310248.7112,2739548.925,772.08,,,,
22.08,310249.4372,2739551.689,773.78,,,,
22.09,310250.9639,2739553.259,773.68,,,,
22.1,310253.4612,2739553.992,773.08,,,,
22.11,310256.0255,2739554.46,772.28,,,,
22.12,310257.8441,2739554.481,772.08,,,,
22.13,310259.3072,2739556.894,773.68,,,,
22.14,310261.1635,2739557.435,773.78,,,,
22.15,310263.0055,2739557.857,773.68,,,,
22.16,310264.4856,2739557.876,773.58,,,,
22.03,310247.3787,2739538.265,768.805,,,,
